<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;230711;000000;12540;12588;12430;12495;1586
MOEX;D;230712;000000;12493;12811;12493;12710;4983
MOEX;D;230713;000000;12733;13456;12500;12617;6112
MOEX;D;230714;000000;12609;12749;12477;12674;1995
MOEX;D;230717;000000;12645;12873;12528;12798;3260
MOEX;D;230718;000000;12800;13009;12650;12954;4446
MOEX;D;230719;000000;12954;13029;12655;12779;5483
MOEX;D;230720;000000;12824;12824;12480;12601;4162
MOEX;D;230721;000000;12564;12755;12433;12711;4138
MOEX;D;230724;000000;12685;12772;12624;12687;1585
MOEX;D;230725;000000;12691;13180;12672;13155;4659
MOEX;D;230726;000000;13180;13615;13001;13286;7519
MOEX;D;230727;000000;13297;13485;13146;13208;3124
MOEX;D;230728;000000;13262;13340;13125;13233;2716
MOEX;D;230731;000000;13285;13580;13212;13481;5152
MOEX;D;230801;000000;13486;13672;13329;13631;6005
MOEX;D;230802;000000;13659;13694;13530;13578;2938
MOEX;D;230803;000000;13611;13617;13400;13513;3950
MOEX;D;230804;000000;13502;13665;12704;13226;11706
MOEX;D;230807;000000;13275;13397;12903;13131;4150
MOEX;D;230808;000000;13084;13394;12903;13303;3861
MOEX;D;230809;000000;13267;13382;13151;13248;1987
MOEX;D;230810;000000;13258;13769;13218;13699;4134
MOEX;D;230811;000000;13747;13805;13501;13638;2295
MOEX;D;230814;000000;13650;13854;13254;13427;7156
MOEX;D;230815;000000;13375;14310;13156;14030;10707
MOEX;D;230816;000000;14100;14245;13743;14010;8515
MOEX;D;230817;000000;14000;14687;13945;14625;13132
MOEX;D;230818;000000;14624;15469;14550;15400;15418
MOEX;D;230821;000000;15432;15500;15250;15333;6354
MOEX;D;230822;000000;15333;15738;15248;15688;6851
MOEX;D;230823;000000;15707;15845;15025;15119;15854
MOEX;D;230824;000000;15115;15546;15115;15456;5639
MOEX;D;230825;000000;15430;15648;15296;15563;4025
MOEX;D;230828;000000;15610;16200;15610;16133;11635
MOEX;D;230829;000000;16141;16297;16073;16271;6957
MOEX;D;230830;000000;16280;16999;16222;16946;13083
MOEX;D;230831;000000;16946;17368;16925;17264;14355
MOEX;D;230901;000000;17286;17326;16789;17123;10487
MOEX;D;230904;000000;17243;17700;17140;17221;14125
MOEX;D;230905;000000;17250;17348;16971;17078;10099
MOEX;D;230906;000000;17078;17298;17019;17222;11011
MOEX;D;230907;000000;17250;17614;16830;16985;22659
MOEX;D;230908;000000;16991;17068;16561;16822;9980
MOEX;D;230911;000000;16750;17072;16537;16882;8014
MOEX;D;230912;000000;16897;17245;16870;17191;10478
MOEX;D;230913;000000;17151;17151;16926;17014;1997
MOEX;D;230914;000000;16963;17110;16689;16999;6443
MOEX;D;230915;000000;17013;17893;16983;17803;8589
MOEX;D;230918;000000;17803;17989;17450;17582;8760
MOEX;D;230919;000000;17519;17577;17089;17242;7188
MOEX;D;230920;000000;17567;17701;17280;17429;3609
MOEX;D;230921;000000;17429;17567;17204;17440;7002
MOEX;D;230922;000000;17470;18499;17320;18496;11421
MOEX;D;230925;000000;18474;18499;18102;18308;12397
MOEX;D;230926;000000;18333;18900;18260;18592;15647
MOEX;D;230927;000000;18615;18739;18508;18654;7175
MOEX;D;230928;000000;18655;18700;18016;18186;19477
MOEX;D;230929;000000;18217;18351;17872;18240;6826
MOEX;D;231002;000000;18270;18585;18266;18545;6503
MOEX;D;231003;000000;18521;18545;18170;18539;8796
MOEX;D;231004;000000;18549;18630;18323;18323;6021
MOEX;D;231005;000000;18358;18696;18294;18606;7003
MOEX;D;231006;000000;18680;18700;18404;18589;3852
MOEX;D;231009;000000;18553;18689;18417;18451;3858
MOEX;D;231010;000000;18500;18600;18331;18565;4256
MOEX;D;231011;000000;18596;18723;18224;18235;7714
MOEX;D;231012;000000;18271;18977;18203;18977;10943
MOEX;D;231013;000000;18970;19019;18681;18895;6213
MOEX;D;231016;000000;18909;19190;18822;19165;6170
MOEX;D;231017;000000;19168;19490;19031;19377;6164
MOEX;D;231018;000000;19407;19459;19101;19302;4074
MOEX;D;231019;000000;19302;19412;19115;19334;3383
MOEX;D;231020;000000;19345;19389;19107;19159;5462
MOEX;D;231023;000000;19154;19157;18810;18959;4810
MOEX;D;231024;000000;18950;19266;18816;19126;4342
MOEX;D;231025;000000;19129;19129;18886;19021;2418
MOEX;D;231026;000000;19040;19076;18784;19069;2753
MOEX;D;231027;000000;19028;19546;18995;19398;10136
MOEX;D;231030;000000;19410;19635;19269;19386;5029
MOEX;D;231031;000000;19381;19460;19056;19214;4235
MOEX;D;231101;000000;19192;19464;19192;19460;2541
MOEX;D;231102;000000;19460;20058;19420;20039;11436
MOEX;D;231103;000000;20039;20700;19904;20570;16047
MOEX;D;231106;000000;20571;20929;20440;20667;9572
MOEX;D;231107;000000;20641;20882;20427;20724;8426
MOEX;D;231108;000000;20701;20890;20456;20630;6640
MOEX;D;231109;000000;20615;20800;20514;20698;5673
MOEX;D;231110;000000;20689;21379;20657;21300;8863
MOEX;D;231113;000000;21303;21449;20211;20388;16208
MOEX;D;231114;000000;20519;20519;19990;20081;17841
