<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;230301;000000;74243;74810;74119;74690;1194562
Si;D;230302;000000;74728;75414;74728;75093;911429
Si;D;230303;000000;75094;75380;74614;75209;878501
Si;D;230306;000000;75220;75635;74731;75084;1038241
Si;D;230307;000000;75084;75990;74808;75830;888399
Si;D;230309;000000;75831;75902;75451;75720;787038
Si;D;230310;000000;75711;76098;75711;76000;771027
Si;D;230313;000000;75998;75998;74772;74860;1489886
Si;D;230314;000000;74868;75560;74868;75467;877735
Si;D;230315;000000;75156;75844;75030;75700;568509
Si;D;230316;000000;75749;76629;75177;76340;1816382
Si;D;230317;000000;76330;76963;75965;76787;1622152
Si;D;230320;000000;76763;77633;76520;77090;1221472
Si;D;230321;000000;77097;77438;76624;76691;794417
Si;D;230322;000000;76705;77503;76600;77319;855766
Si;D;230323;000000;77317;77317;75757;76110;1250036
Si;D;230324;000000;76120;77147;75900;76961;1278056
Si;D;230327;000000;76923;76998;76457;76604;785538
Si;D;230328;000000;76600;77286;76370;77099;723013
Si;D;230329;000000;77096;77417;76963;77327;566265
Si;D;230330;000000;77326;77567;76853;77375;1080348
Si;D;230331;000000;77370;78235;77293;77806;883275
Si;D;230403;000000;77808;78989;77448;78850;834545
Si;D;230404;000000;78860;79777;78860;79688;970056
Si;D;230405;000000;79658;80171;79407;80150;770103
Si;D;230406;000000;80150;81790;80112;81720;1128114
Si;D;230407;000000;81727;83172;80520;81017;2427761
Si;D;230410;000000;81025;81745;80613;81395;1700100
Si;D;230411;000000;81395;82450;81210;82150;944263
Si;D;230412;000000;82153;82337;81331;81553;722188
Si;D;230413;000000;81595;81825;80831;81446;948160
Si;D;230414;000000;81415;81470;80831;81239;826961
Si;D;230417;000000;81288;81847;80272;80373;1228931
Si;D;230418;000000;80373;80899;80180;80701;685353
Si;D;230419;000000;80713;81370;80300;81270;1062044
Si;D;230420;000000;81270;81305;80460;80714;868579
Si;D;230421;000000;80712;80990;80339;80707;591377
Si;D;230424;000000;80681;80743;79937;80140;812121
Si;D;230425;000000;80148;80970;80142;80403;1022639
Si;D;230426;000000;80400;81051;80243;80946;684142
Si;D;230427;000000;80988;81175;80065;80317;804009
Si;D;230428;000000;80317;80676;78250;79310;1791264
Si;D;230502;000000;79338;79630;78206;78586;1168695
Si;D;230503;000000;78586;78848;77641;78220;958268
Si;D;230504;000000;78239;78280;76406;77136;1437724
Si;D;230505;000000;77086;77086;75424;76421;1595824
