<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;230724;000000;99993;100011;98361;98516;85671
Eu;D;230725;000000;98443;99069;98040;98540;79972
Eu;D;230726;000000;98583;98797;98250;98672;53773
Eu;D;230727;000000;98655;99431;98386;98500;122775
Eu;D;230728;000000;98339;100902;98270;100528;149917
Eu;D;230731;000000;100642;101154;99537;99623;123585
Eu;D;230801;000000;99818;100875;99229;100671;94267
Eu;D;230802;000000;100591;102725;100275;101996;120654
Eu;D;230803;000000;101900;102542;100969;102034;125157
Eu;D;230804;000000;102177;104739;101914;104085;137881
Eu;D;230807;000000;103996;105351;102749;103504;133170
Eu;D;230808;000000;103678;105698;103380;105680;113768
Eu;D;230809;000000;105349;106318;104697;104721;115857
Eu;D;230810;000000;104956;106475;104658;106093;129642
Eu;D;230811;000000;106109;108111;106006;107864;113270
Eu;D;230814;000000;107919;110061;104125;104182;227411
Eu;D;230815;000000;103902;107244;102624;103287;308421
Eu;D;230816;000000;104248;104761;101125;101597;195339
Eu;D;230817;000000;101099;102370;99300;100297;243955
Eu;D;230818;000000;100248;100658;99019;100420;146961
Eu;D;230821;000000;100057;101811;99874;100584;127036
Eu;D;230822;000000;100980;101732;100525;101100;85424
Eu;D;230823;000000;101219;102137;100206;102101;122243
Eu;D;230824;000000;101717;101922;101265;101538;76757
Eu;D;230825;000000;101395;103045;101156;102660;203428
Eu;D;230828;000000;102871;103427;102499;102796;156324
Eu;D;230829;000000;102993;103878;102700;103471;140942
Eu;D;230830;000000;103791;105029;103631;104951;92468
Eu;D;230831;000000;104999;105013;103465;103888;111847
Eu;D;230901;000000;103958;104798;103474;103651;125123
Eu;D;230904;000000;103750;104618;103716;104614;63054
Eu;D;230905;000000;104626;105020;104407;104975;96655
Eu;D;230906;000000;104995;105550;104307;105438;178281
Eu;D;230907;000000;105400;105440;103772;104904;186327
Eu;D;230908;000000;105028;105240;104132;104287;86137
Eu;D;230911;000000;104176;104176;101650;101761;126530
Eu;D;230912;000000;101042;102425;100470;102257;191044
Eu;D;230913;000000;102279;103686;102279;103328;125479
Eu;D;230914;000000;103489;103898;102065;102923;292005
Eu;D;230915;000000;102899;103495;102038;102709;246289
Eu;D;230918;000000;102779;103490;102535;102802;301900
Eu;D;230919;000000;102865;103946;102214;103251;234524
Eu;D;230920;000000;100866;101670;100071;100171;417481
Eu;D;230921;000000;100058;101065;99355;100659;264189
Eu;D;230922;000000;100757;101590;100366;101409;73461
Eu;D;230925;000000;101466;101519;100514;101181;93196
Eu;D;230926;000000;101167;101482;100735;101250;45017
Eu;D;230927;000000;101260;101516;100623;101317;124920
Eu;D;230928;000000;101250;102174;100733;101940;119920
Eu;D;230929;000000;102022;103903;102022;103796;124383
Eu;D;231002;000000;103800;104801;103401;104736;141914
Eu;D;231003;000000;104554;104793;103624;103972;121565
Eu;D;231004;000000;103959;104923;103620;104610;87537
Eu;D;231005;000000;104611;106687;104506;106323;68266
Eu;D;231006;000000;106419;107000;104884;105960;124263
Eu;D;231009;000000;105922;108018;103901;104304;150223
Eu;D;231010;000000;104445;106597;104445;106547;140212
Eu;D;231011;000000;106442;106983;102829;103096;104306
Eu;D;231012;000000;103200;103861;102700;103123;161296
Eu;D;231013;000000;103235;103678;102225;102542;125101
Eu;D;231016;000000;102577;103244;102513;103062;82392
Eu;D;231017;000000;103036;104300;102762;104082;130752
Eu;D;231018;000000;104000;104011;103222;103428;85262
Eu;D;231019;000000;103505;103947;103158;103278;126133
Eu;D;231020;000000;103280;103295;101603;101985;113699
Eu;D;231023;000000;101969;102222;100873;101443;105531
Eu;D;231024;000000;101385;101401;99160;99676;115685
Eu;D;231025;000000;99669;100047;99305;99792;79196
Eu;D;231026;000000;99900;100654;99718;100583;64463
Eu;D;231027;000000;100628;101277;98735;101194;145262
Eu;D;231030;000000;100840;101085;99516;99763;96373
Eu;D;231031;000000;99748;100763;98615;100429;156645
Eu;D;231101;000000;100149;100669;98765;99299;144710
Eu;D;231102;000000;99664;100537;99566;100305;103564
Eu;D;231103;000000;100320;100623;99274;99931;184847
Eu;D;231106;000000;99965;100320;99603;99871;43842
Eu;D;231107;000000;100035;100278;99513;99975;66129
Eu;D;231108;000000;99850;99850;98794;99205;70786
Eu;D;231109;000000;99305;99463;98974;99065;71321
Eu;D;231110;000000;99063;99736;98862;99662;64150
Eu;D;231113;000000;99651;99755;98473;98767;90779
Eu;D;231114;000000;98780;99150;97909;98900;157291
Eu;D;231115;000000;98677;98708;96931;97245;188875
Eu;D;231116;000000;97245;97863;96639;97451;99398
Eu;D;231117;000000;97273;98800;97003;98379;108806
Eu;D;231120;000000;98320;98335;96330;96442;162723
Eu;D;231121;000000;96421;96847;96040;96156;138261
Eu;D;231122;000000;96258;97069;96099;96356;85123
Eu;D;231123;000000;96498;97221;96243;96989;82574
Eu;D;231124;000000;97050;97949;96800;97664;113013
Eu;D;231127;000000;97712;98096;97010;98093;126543
Eu;D;231128;000000;97858;98899;97378;98567;93386
Eu;D;231129;000000;98507;98570;97362;97385;122916
Eu;D;231130;000000;97520;98230;97141;97688;117460
Eu;D;231201;000000;97844;98667;97617;98504;122579
Eu;D;231204;000000;98552;99231;98500;99033;86955
Eu;D;231205;000000;99417;100694;98974;100399;117318
Eu;D;231206;000000;100400;101000;99252;100294;172500
Eu;D;231207;000000;100367;100529;98869;99305;118781
Eu;D;231208;000000;99396;99500;97979;98913;142384
Eu;D;231211;000000;98912;98913;97250;97391;121866
Eu;D;231212;000000;97491;97602;96821;97076;175146
Eu;D;231213;000000;96950;97500;96401;97086;167201
Eu;D;231214;000000;97165;99097;96938;99040;170743
Eu;D;231215;000000;98747;99190;98112;98331;221339
Eu;D;231218;000000;98383;99000;97841;97963;112670
Eu;D;231219;000000;98417;99441;97871;99153;227223
Eu;D;231220;000000;99490;100276;99054;100179;159183
Eu;D;231221;000000;99830;102041;99740;101347;280614
Eu;D;231222;000000;101367;101962;100891;101440;174202
Eu;D;231225;000000;101367;102295;100520;100812;127772
Eu;D;231226;000000;100776;101377;100600;101189;93388
Eu;D;231227;000000;101250;102190;101130;101894;124320
Eu;D;231228;000000;101861;101896;100260;100564;139582
Eu;D;231229;000000;100696;101179;99818;100993;104215
Eu;D;240103;000000;100993;101876;100489;101762;43153
Eu;D;240104;000000;101777;101945;100688;100912;38741
Eu;D;240105;000000;100806;100961;99578;99792;72080
Eu;D;240108;000000;99940;101052;99221;100585;53936
Eu;D;240109;000000;100555;100556;98703;99365;113606
Eu;D;240110;000000;99200;99514;98643;99375;62788
Eu;D;240111;000000;99500;99500;98015;98154;99856
Eu;D;240112;000000;98101;98191;97395;97911;94767
Eu;D;240115;000000;97860;97860;96762;97088;66108
Eu;D;240116;000000;97047;97072;96241;96489;160122
Eu;D;240117;000000;96521;97642;96200;97350;185858
Eu;D;240118;000000;97350;97831;97144;97599;175678
Eu;D;240119;000000;97627;97658;96531;96843;153373
Eu;D;240122;000000;96890;97115;96116;96767;143116
Eu;D;240123;000000;96642;97536;96458;97305;88248
Eu;D;240124;000000;97357;97939;96825;97563;80679
Eu;D;240125;000000;97585;98516;97433;97720;67349
Eu;D;240126;000000;97849;98987;97577;98939;82148
Eu;D;240129;000000;98950;99000;97080;97275;72940
Eu;D;240130;000000;97335;98473;96966;98286;97479
Eu;D;240131;000000;98145;98933;97779;98580;77595
Eu;D;240201;000000;98554;99466;98021;99404;58190
Eu;D;240202;000000;99602;100355;99030;99152;90707
Eu;D;240205;000000;99224;99992;98063;98246;88952
Eu;D;240206;000000;98372;99159;98311;99076;59296
Eu;D;240207;000000;99075;99515;98625;99222;79449
Eu;D;240208;000000;99332;99479;98079;98298;106174
Eu;D;240209;000000;98443;98736;97970;98649;117008
Eu;D;240212;000000;98685;98799;98069;98530;114943
Eu;D;240213;000000;98505;99100;98012;98024;92702
Eu;D;240214;000000;98211;98850;98082;98695;61744
Eu;D;240215;000000;98642;100088;98483;99770;94893
Eu;D;240216;000000;99773;100198;99243;99477;185046
Eu;D;240219;000000;99500;100053;99500;99933;64914
Eu;D;240220;000000;99999;100370;99560;100037;73701
Eu;D;240221;000000;100002;100686;99881;100676;180420
Eu;D;240222;000000;100850;101247;99712;100700;210505
Eu;D;240226;000000;100794;100820;100070;100368;137911
Eu;D;240227;000000;100438;100709;100118;100334;90851
Eu;D;240228;000000;100362;100366;99125;99304;137210
Eu;D;240229;000000;99309;99309;98190;98425;373966
Eu;D;240301;000000;98704;99758;98633;99500;98687
Eu;D;240304;000000;99687;99698;99145;99245;61110
Eu;D;240305;000000;99334;99426;98750;98805;75900
Eu;D;240306;000000;98789;99328;98362;99227;73324
Eu;D;240307;000000;99238;99678;99035;99580;111483
Eu;D;240311;000000;99630;99793;99143;99313;122738
Eu;D;240312;000000;99376;100575;99247;100554;194822
Eu;D;240313;000000;100458;100660;99860;100322;99336
Eu;D;240314;000000;100386;100736;99988;100035;164213
Eu;D;240315;000000;100001;101258;99869;101010;89308
Eu;D;240318;000000;101143;101236;99524;99908;147200
Eu;D;240319;000000;99964;100694;99700;100518;133124
Eu;D;240320;000000;102445;103206;102274;103087;164327
Eu;D;240321;000000;103085;103502;101759;102140;143235
Eu;D;240322;000000;102252;103550;101955;103186;80262
Eu;D;240325;000000;103166;103171;102451;102985;72477
Eu;D;240326;000000;103075;103075;102593;102806;61077
Eu;D;240327;000000;102820;102878;101612;101950;78752
Eu;D;240328;000000;101939;102343;101652;102024;147671
Eu;D;240329;000000;102043;102061;101124;101807;131120
Eu;D;240401;000000;101821;102018;101484;101685;60140
Eu;D;240402;000000;101672;102007;101317;101931;51521
Eu;D;240403;000000;101929;102418;101307;102290;57120
Eu;D;240404;000000;102336;102623;102200;102258;47724
Eu;D;240405;000000;102242;102706;101797;102230;163022
Eu;D;240408;000000;102251;102743;102109;102668;40795
Eu;D;240409;000000;102669;103295;102611;103061;71701
Eu;D;240410;000000;103070;103632;102519;102661;73042
Eu;D;240411;000000;102618;103027;101860;102044;51671
Eu;D;240412;000000;102045;102210;100951;101111;80369
Eu;D;240415;000000;101173;101609;100873;101108;80592
Eu;D;240416;000000;101196;102075;101090;101892;59410
Eu;D;240417;000000;101823;102163;101619;102075;53396
Eu;D;240418;000000;102159;102386;101150;101186;77357
Eu;D;240419;000000;101141;101400;100458;100695;59945
