<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNY;D;231110;000000;12.79;12.858;12.757;12.819;1787684
CNY;D;231113;000000;12.817;12.819;12.671;12.689;2630772
CNY;D;231114;000000;12.7;12.711;12.568;12.617;3169334
CNY;D;231115;000000;12.609;12.629;12.406;12.438;3694023
CNY;D;231116;000000;12.437;12.499;12.355;12.473;3428184
CNY;D;231117;000000;12.449;12.656;12.415;12.581;3260714
CNY;D;231120;000000;12.58;12.605;12.39;12.415;5119182
CNY;D;231121;000000;12.423;12.475;12.394;12.415;2978689
CNY;D;231122;000000;12.43;12.467;12.371;12.399;2341386
CNY;D;231123;000000;12.43;12.492;12.407;12.463;2785550
CNY;D;231124;000000;12.478;12.592;12.428;12.503;6424698
CNY;D;231127;000000;12.511;12.521;12.41;12.518;3646463
CNY;D;231128;000000;12.497;12.609;12.453;12.591;3280550
CNY;D;231129;000000;12.591;12.592;12.46;12.462;3785787
CNY;D;231130;000000;12.486;12.599;12.457;12.569;4066005
CNY;D;231201;000000;12.564;12.704;12.529;12.699;3618481
CNY;D;231204;000000;12.686;12.824;12.686;12.811;3271005
CNY;D;231205;000000;12.846;12.994;12.81;12.974;4313208
CNY;D;231206;000000;13.001;13.094;12.86;13.013;5667492
CNY;D;231207;000000;13.034;13.044;12.824;12.868;3394454
CNY;D;231208;000000;12.88;12.889;12.704;12.825;7799406
CNY;D;231211;000000;12.808;12.808;12.603;12.611;4583526
CNY;D;231212;000000;12.619;12.627;12.523;12.544;3912597
CNY;D;231213;000000;12.513;12.579;12.483;12.55;3650760
CNY;D;231214;000000;12.531;12.693;12.521;12.669;4114777
CNY;D;231215;000000;12.648;12.708;12.583;12.65;3948222
CNY;D;231218;000000;12.645;12.712;12.55;12.567;3506693
CNY;D;231219;000000;12.586;12.738;12.509;12.713;3688804
CNY;D;231220;000000;13.026;13.124;12.985;13.103;1574715
