<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;230907;000000;26536;26674;25711;25939;394382
SBRF;D;230908;000000;25937;26005;25410;25660;257488
SBRF;D;230911;000000;25600;25920;25556;25717;192602
SBRF;D;230912;000000;25717;26317;25642;26317;224626
SBRF;D;230913;000000;26283;26283;25650;25880;127888
SBRF;D;230914;000000;25880;26230;25553;26094;268991
SBRF;D;230915;000000;26093;26350;25903;26128;206309
SBRF;D;230918;000000;26136;26360;25901;25948;183063
SBRF;D;230919;000000;25931;25960;25139;25242;379782
SBRF;D;230920;000000;26170;26560;25902;26385;202306
SBRF;D;230921;000000;26385;26385;25866;25898;288584
SBRF;D;230922;000000;25909;26282;25820;26146;230064
SBRF;D;230925;000000;26160;26280;25868;26198;207677
SBRF;D;230926;000000;26210;26683;25961;26544;277177
SBRF;D;230927;000000;26545;26763;26371;26559;200323
SBRF;D;230928;000000;26560;26800;26454;26711;200142
SBRF;D;230929;000000;26715;27288;26611;27044;412936
SBRF;D;231002;000000;27028;27152;26601;26789;227844
SBRF;D;231003;000000;26768;27015;26605;26928;183338
SBRF;D;231004;000000;26926;26979;26730;26883;152609
SBRF;D;231005;000000;26906;27196;26681;26841;189014
SBRF;D;231006;000000;26812;27238;26584;27199;227883
SBRF;D;231009;000000;27191;27625;27103;27460;343152
SBRF;D;231010;000000;27464;27530;26954;27188;231612
SBRF;D;231011;000000;27195;27289;26800;26852;190366
SBRF;D;231012;000000;26853;27350;26605;27310;220206
SBRF;D;231013;000000;27312;27400;27075;27149;158448
SBRF;D;231016;000000;27168;27795;27164;27687;339893
SBRF;D;231017;000000;27689;28049;27505;27835;282329
SBRF;D;231018;000000;27825;27884;27402;27569;247359
SBRF;D;231019;000000;27573;28000;27407;27650;239938
SBRF;D;231020;000000;27630;27800;27364;27784;221473
SBRF;D;231023;000000;27785;28200;27708;27741;275869
SBRF;D;231024;000000;27735;27961;27607;27871;179394
SBRF;D;231025;000000;27872;28248;27780;28121;243626
SBRF;D;231026;000000;28121;28400;27612;27669;371435
SBRF;D;231027;000000;27694;27894;27380;27653;275463
SBRF;D;231030;000000;27682;27844;27516;27624;174314
SBRF;D;231031;000000;27640;27697;27313;27472;166461
SBRF;D;231101;000000;27457;27671;27371;27629;126701
SBRF;D;231102;000000;27628;27744;27431;27518;139804
SBRF;D;231103;000000;27520;27585;27278;27426;154281
SBRF;D;231106;000000;27477;27970;27415;27940;177965
SBRF;D;231107;000000;27955;28059;27765;27906;197072
SBRF;D;231108;000000;27923;28415;27890;28380;299858
SBRF;D;231109;000000;28384;28440;28157;28230;189708
SBRF;D;231110;000000;28251;28663;28198;28556;229295
SBRF;D;231113;000000;28541;29000;28530;28913;226050
SBRF;D;231114;000000;28927;28929;28515;28579;244757
SBRF;D;231115;000000;28595;28880;28325;28792;241430
SBRF;D;231116;000000;28792;28860;28400;28434;175068
SBRF;D;231117;000000;28430;28703;28271;28618;219907
SBRF;D;231120;000000;28649;28876;28556;28736;194192
SBRF;D;231121;000000;28736;28822;28605;28715;108926
SBRF;D;231122;000000;28706;29107;28683;29055;260747
SBRF;D;231123;000000;29069;29211;28907;29017;178283
SBRF;D;231124;000000;29012;29157;28871;29064;153297
SBRF;D;231127;000000;29038;29298;28251;28439;479937
SBRF;D;231128;000000;28463;28505;27964;28274;273034
SBRF;D;231129;000000;28262;28347;27856;27977;202116
SBRF;D;231130;000000;27974;28121;27535;28027;293945
SBRF;D;231201;000000;28027;28065;27605;27632;194141
SBRF;D;231204;000000;27619;27747;27271;27319;232364
SBRF;D;231205;000000;27298;28195;27257;28189;322334
SBRF;D;231206;000000;28195;28298;26850;26922;523493
SBRF;D;231207;000000;26909;27244;26500;26699;379086
SBRF;D;231208;000000;26706;26988;26512;26652;227090
SBRF;D;231211;000000;26669;26776;25611;25800;470995
SBRF;D;231212;000000;25776;26398;25645;25854;417372
SBRF;D;231213;000000;25857;26223;25739;26134;232406
SBRF;D;231214;000000;26143;26372;25650;25738;266752
SBRF;D;231215;000000;25751;26977;25714;26908;442178
SBRF;D;231218;000000;26911;27700;26708;26857;311476
SBRF;D;231219;000000;26883;26989;26474;26748;249243
SBRF;D;231220;000000;27893;28038;27809;27874;128434
SBRF;D;231221;000000;27875;27927;27500;27686;205601
